label n m comparisons time compsConst timeConst
mid 1000 64 15 0 1.50515 0
end 1000 64 13 0 1.30446 0
not 1000 64 20 0 2.00687 0
inA 1000 64 19 0 1.90652 0
ran 1000 65 17 0 1.70584 0
beg 1000 65 13 0 1.30446 0
mid 1000 65 11 0 1.10378 0
end 1000 65 15 0 1.50515 0
not 1000 65 20 0 2.00687 0
inA 1000 65 15 0 1.50515 0
ran 1000 66 20 0 2.00687 0
beg 1000 66 17 0 1.70584 0
mid 1000 66 19 0 1.90652 0
end 1000 66 19 0 1.90652 0
not 1000 66 20 0 2.00687 0
inA 1000 66 19 0 1.90652 0
ran 1000 67 20 0 2.00687 0
beg 1000 67 17 0 1.70584 0
mid 1000 67 15 1000 1.50515 100.343
end 1000 67 19 0 1.90652 0
not 1000 67 20 0 2.00687 0
inA 1000 67 17 0 1.70584 0
ran 1000 68 20 0 2.00687 0
beg 1000 68 19 0 1.90652 0
mid 1000 68 17 0 1.70584 0
end 1000 68 17 1000 1.70584 100.343
not 1000 68 18 0 1.80618 0
inA 1000 68 17 0 1.70584 0
ran 1000 69 20 0 2.00687 0
beg 1000 69 17 0 1.70584 0
mid 1000 69 19 1000 1.90652 100.343
end 1000 69 17 0 1.70584 0
not 1000 69 20 0 2.00687 0
inA 1000 69 19 0 1.90652 0
ran 1000 70 11 0 1.10378 0
beg 1000 70 7 0 0.702403 0
mid 1000 70 19 0 1.90652 0
end 1000 70 19 0 1.90652 0
not 1000 70 20 0 2.00687 0
inA 1000 70 17 0 1.70584 0
ran 1000 71 20 0 2.00687 0
beg 1000 71 17 0 1.70584 0
mid 1000 71 19 0 1.90652 0
end 1000 71 15 0 1.50515 0
not 1000 71 20 0 2.00687 0
inA 1000 71 13 0 1.30446 0
ran 1000 72 17 0 1.70584 0
beg 1000 72 13 0 1.30446 0
mid 1000 72 13 0 1.30446 0
end 1000 72 17 1000 1.70584 100.343
not 1000 72 20 0 2.00687 0
inA 1000 72 19 0 1.90652 0
ran 1000 73 19 0 1.90652 0
beg 1000 73 15 0 1.50515 0
mid 1000 73 17 0 1.70584 0
end 1000 73 15 0 1.50515 0
not 1000 73 20 0 2.00687 0
inA 1000 73 15 0 1.50515 0
ran 1000 74 20 0 2.00687 0
beg 1000 74 17 0 1.70584 0
mid 1000 74 13 0 1.30446 0
end 1000 74 13 0 1.30446 0
not 1000 74 20 0 2.00687 0
inA 1000 74 19 0 1.90652 0
ran 1000 75 20 1000 2.00687 100.343
beg 1000 75 19 0 1.90652 0
mid 1000 75 19 0 1.90652 0
end 1000 75 19 0 1.90652 0
not 1000 75 20 0 2.00687 0
inA 1000 75 19 1000 1.90652 100.343
ran 1000 76 20 0 2.00687 0
beg 1000 76 17 0 1.70584 0
mid 1000 76 17 0 1.70584 0
end 1000 76 17 0 1.70584 0
not 1000 76 20 0 2.00687 0
inA 1000 76 19 0 1.90652 0
ran 1000 77 20 0 2.00687 0
beg 1000 77 19 0 1.90652 0
mid 1000 77 17 0 1.70584 0
end 1000 77 17 0 1.70584 0
not 1000 77 20 0 2.00687 0
inA 1000 77 19 0 1.90652 0
ran 1000 78 20 0 2.00687 0
beg 1000 78 17 0 1.70584 0
mid 1000 78 15 0 1.50515 0
end 1000 78 17 0 1.70584 0
not 1000 78 20 0 2.00687 0
inA 1000 78 3 0 0.30103 0
ran 1000 79 20 0 2.00687 0
beg 1000 79 11 0 1.10378 0
mid 1000 79 17 1000 1.70584 100.343
end 1000 79 17 0 1.70584 0
not 1000 79 20 0 2.00687 0
inA 1000 79 17 0 1.70584 0
ran 1000 80 20 0 2.00687 0
beg 1000 80 19 0 1.90652 0
mid 1000 80 15 0 1.50515 0
end 1000 80 13 0 1.30446 0
not 1000 80 20 0 2.00687 0
inA 1000 80 19 0 1.90652 0
ran 1000 81 20 0 2.00687 0
beg 1000 81 3 0 0.30103 0
mid 1000 81 5 0 0.501717 0
end 1000 81 17 0 1.70584 0
not 1000 81 20 0 2.00687 0
inA 1000 81 15 0 1.50515 0
ran 1000 82 20 1000 2.00687 100.343
beg 1000 82 19 0 1.90652 0
mid 1000 82 9 0 0.90309 0
end 1000 82 15 1000 1.50515 100.343
not 1000 82 20 1000 2.00687 100.343
inA 1000 82 17 0 1.70584 0
ran 1000 83 18 0 1.80618 0
beg 1000 83 19 0 1.90652 0
mid 1000 83 17 0 1.70584 0
end 1000 83 19 0 1.90652 0
not 1000 83 20 0 2.00687 0
inA 1000 83 17 1000 1.70584 100.343
ran 1000 84 20 1000 2.00687 100.343
beg 1000 84 17 1000 1.70584 100.343
mid 1000 84 17 0 1.70584 0
end 1000 84 19 0 1.90652 0
not 1000 84 20 0 2.00687 0
inA 1000 84 17 0 1.70584 0
ran 1000 85 20 0 2.00687 0
beg 1000 85 13 0 1.30446 0
mid 1000 85 17 0 1.70584 0
end 1000 85 19 0 1.90652 0
not 1000 85 20 0 2.00687 0
inA 1000 85 15 0 1.50515 0
ran 1000 86 20 1000 2.00687 100.343
beg 1000 86 9 0 0.90309 0
mid 1000 86 19 0 1.90652 0
end 1000 86 17 0 1.70584 0
not 1000 86 20 1000 2.00687 100.343
inA 1000 86 19 0 1.90652 0
ran 1000 87 20 0 2.00687 0
beg 1000 87 19 0 1.90652 0
mid 1000 87 17 0 1.70584 0
end 1000 87 13 0 1.30446 0
not 1000 87 20 0 2.00687 0
inA 1000 87 15 0 1.50515 0
ran 1000 88 20 0 2.00687 0
beg 1000 88 17 0 1.70584 0
mid 1000 88 13 0 1.30446 0
end 1000 88 19 1000 1.90652 100.343
not 1000 88 20 0 2.00687 0
inA 1000 88 19 0 1.90652 0
ran 1000 89 20 0 2.00687 0
beg 1000 89 17 0 1.70584 0
mid 1000 89 17 0 1.70584 0
end 1000 89 19 0 1.90652 0
not 1000 89 20 0 2.00687 0
inA 1000 89 17 0 1.70584 0
ran 1000 90 20 0 2.00687 0
beg 1000 90 19 0 1.90652 0
mid 1000 90 19 0 1.90652 0
end 1000 90 19 0 1.90652 0
not 1000 90 20 0 2.00687 0
inA 1000 90 19 0 1.90652 0
ran 1000 91 20 0 2.00687 0
beg 1000 91 19 0 1.90652 0
mid 1000 91 15 0 1.50515 0
end 1000 91 17 0 1.70584 0
not 1000 91 20 0 2.00687 0
inA 1000 91 13 0 1.30446 0
ran 1000 92 20 0 2.00687 0
beg 1000 92 13 1000 1.30446 100.343
mid 1000 92 15 0 1.50515 0
end 1000 92 5 0 0.501717 0
not 1000 92 20 0 2.00687 0
inA 1000 92 19 0 1.90652 0
ran 1000 93 20 0 2.00687 0
beg 1000 93 19 0 1.90652 0
mid 1000 93 17 0 1.70584 0
end 1000 93 17 0 1.70584 0
not 1000 93 20 0 2.00687 0
inA 1000 93 17 0 1.70584 0
ran 1000 94 17 0 1.70584 0
beg 1000 94 19 0 1.90652 0
mid 1000 94 13 1000 1.30446 100.343
end 1000 94 15 0 1.50515 0
not 1000 94 20 0 2.00687 0
inA 1000 94 15 0 1.50515 0
ran 1000 95 20 0 2.00687 0
beg 1000 95 15 1000 1.50515 100.343
mid 1000 95 15 1000 1.50515 100.343
end 1000 95 15 0 1.50515 0
not 1000 95 20 1000 2.00687 100.343
inA 1000 95 17 0 1.70584 0
ran 1000 96 9 0 0.90309 0
beg 1000 96 15 0 1.50515 0
mid 1000 96 15 0 1.50515 0
end 1000 96 17 1000 1.70584 100.343
not 1000 96 20 0 2.00687 0
inA 1000 96 17 0 1.70584 0
ran 1000 97 13 0 1.30446 0
beg 1000 97 17 0 1.70584 0
mid 1000 97 17 0 1.70584 0
end 1000 97 19 0 1.90652 0
not 1000 97 20 1000 2.00687 100.343
inA 1000 97 19 0 1.90652 0
ran 1000 98 17 0 1.70584 0
beg 1000 98 19 0 1.90652 0
mid 1000 98 15 0 1.50515 0
end 1000 98 17 0 1.70584 0
not 1000 98 20 0 2.00687 0
inA 1000 98 13 0 1.30446 0
ran 1000 99 17 0 1.70584 0
beg 1000 99 19 0 1.90652 0
mid 1000 99 17 0 1.70584 0
end 1000 99 19 1000 1.90652 100.343
not 1000 99 20 0 2.00687 0
inA 1000 99 17 0 1.70584 0
ran 1000 100 20 0 2.00687 0
beg 1000 100 19 0 1.90652 0
mid 1000 100 17 0 1.70584 0
end 1000 100 15 0 1.50515 0
not 1000 100 20 0 2.00687 0
inA 1000 100 9 0 0.90309 0
ran 1000 101 20 0 2.00687 0
